[WARNING] 2025-10-24 10:26:16,605 | django.request | Not Found: /favicon.ico
[WARNING] 2025-10-24 12:24:24,015 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 12:49:41,366 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 12:49:42,064 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[ERROR] 2025-10-24 12:49:47,909 | django.request | Internal Server Error: /dashboard/contributor/submit_content/after_submission
[ERROR] 2025-10-24 12:49:47,909 | django.server | "POST /dashboard/contributor/submit_content/after_submission HTTP/1.1" 500 69
[WARNING] 2025-10-24 13:56:29,982 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[INFO] 2025-10-24 13:56:32,895 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 13:56:33,564 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 13:56:41,558 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 13:56:41,877 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 13:56:41,905 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 13:56:46,271 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 13:56:46,765 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[ERROR] 2025-10-24 13:56:51,283 | django.request | Internal Server Error: /dashboard/contributor/submit_content/after_submission
[ERROR] 2025-10-24 13:56:51,288 | django.server | "POST /dashboard/contributor/submit_content/after_submission HTTP/1.1" 500 73
[INFO] 2025-10-24 14:00:21,370 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:00:21,819 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:00:29,894 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:00:30,203 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:00:30,203 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 14:00:35,473 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:00:35,829 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[ERROR] 2025-10-24 14:00:39,926 | django.request | Internal Server Error: /dashboard/contributor/submit_content/after_submission
[ERROR] 2025-10-24 14:00:39,942 | django.server | "POST /dashboard/contributor/submit_content/after_submission HTTP/1.1" 500 187
[INFO] 2025-10-24 14:03:17,840 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:03:18,249 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:03:26,032 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:03:26,032 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:03:26,032 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 14:03:30,230 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:03:30,633 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[ERROR] 2025-10-24 14:03:34,838 | django.request | Internal Server Error: /dashboard/contributor/submit_content/after_submission
[ERROR] 2025-10-24 14:03:34,838 | django.server | "POST /dashboard/contributor/submit_content/after_submission HTTP/1.1" 500 56
[INFO] 2025-10-24 14:07:55,804 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:07:56,336 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:08:04,318 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:08:04,635 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:08:04,658 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 14:08:08,465 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:08:08,859 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[ERROR] 2025-10-24 14:08:13,061 | django.request | Internal Server Error: /dashboard/contributor/submit_content/after_submission
[ERROR] 2025-10-24 14:08:13,061 | django.server | "POST /dashboard/contributor/submit_content/after_submission HTTP/1.1" 500 63
[WARNING] 2025-10-24 14:09:55,260 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:10:02,729 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:10:03,155 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:10:10,983 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:10:11,296 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:10:11,315 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 14:10:14,104 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:10:14,516 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:10:55,998 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:10:59,955 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:11:00,398 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:11:08,078 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:11:08,383 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:11:08,400 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 14:14:58,274 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:14:58,895 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:15:32,683 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:17:48,072 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:17:55,750 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:17:56,243 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:18:04,097 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:18:04,416 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-24 14:18:04,416 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:18:07,934 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:18:08,325 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-24 14:26:22,525 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:26:23,147 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:26:30,948 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:26:31,268 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-24 14:26:31,268 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:26:36,211 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:26:36,562 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-24 14:33:08,811 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:33:09,434 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:33:17,434 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:33:17,789 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-24 14:33:17,789 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:33:21,335 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:33:21,691 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[ERROR] 2025-10-24 14:33:26,154 | django.request | Internal Server Error: /dashboard/contributor/submit_content/after_submission
[ERROR] 2025-10-24 14:33:26,154 | django.server | "POST /dashboard/contributor/submit_content/after_submission HTTP/1.1" 500 89
[INFO] 2025-10-24 14:49:25,810 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:49:26,290 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:49:34,695 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-24 14:49:34,695 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:49:34,697 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:49:39,326 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:49:39,761 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:53:09,328 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:53:14,169 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:53:14,649 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:53:22,576 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:53:22,895 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:53:22,897 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 14:53:25,874 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:53:26,293 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-24 14:56:46,252 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:56:46,836 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 14:56:54,399 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 14:56:54,709 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-24 14:56:54,714 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-24 14:57:01,221 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 14:57:01,670 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 15:00:02,485 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 19:04:04,870 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[INFO] 2025-10-24 19:04:10,145 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 19:04:10,789 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[ERROR] 2025-10-24 19:04:19,336 | django.request | Internal Server Error: /dashboard/contributor/submit_content/
Traceback (most recent call last):
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\gauri\IdeaProjects\oer\accounts\views\contributor\contributor_dashboard.py", line 149, in contributor_submit_content_view
    return render(request, "contributor/submit_content.html", context)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\shortcuts.py", line 25, in render
    content = loader.render_to_string(template_name, context, request, using=using)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\template\loader.py", line 62, in render_to_string
    return template.render(context, request)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\template\backends\django.py", line 107, in render
    return self.template.render(context)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\template\base.py", line 171, in render
    return self._render(context)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\template\base.py", line 163, in _render
    return self.nodelist.render(context)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\template\base.py", line 1016, in render
    return SafeString("".join([node.render_annotated(context) for node in self]))
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\template\base.py", line 1016, in <listcomp>
    return SafeString("".join([node.render_annotated(context) for node in self]))
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\template\base.py", line 977, in render_annotated
    return self.render(context)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\template\defaulttags.py", line 480, in render
    url = reverse(view_name, args=args, kwargs=kwargs, current_app=current_app)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\urls\base.py", line 98, in reverse
    resolved_url = resolver._reverse_with_prefix(view, prefix, *args, **kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\urls\resolvers.py", line 831, in _reverse_with_prefix
    raise NoReverseMatch(msg)
django.urls.exceptions.NoReverseMatch: Reverse for 'assessment' not found. 'assessment' is not a valid view function or pattern name.
[ERROR] 2025-10-24 19:04:19,353 | django.server | "GET /dashboard/contributor/submit_content/?course_id=3&chapter_id=13 HTTP/1.1" 500 142742
[INFO] 2025-10-24 19:05:02,653 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 19:05:03,108 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 19:05:11,422 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 19:05:11,738 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 19:05:11,755 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[ERROR] 2025-10-24 19:07:45,610 | django.request | Internal Server Error: /dashboard/contributor/submit_content/submit_assessment
Traceback (most recent call last):
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
TypeError: submit_assessment() missing 2 required positional arguments: 'course_id' and 'chapter_id'
[ERROR] 2025-10-24 19:07:45,610 | django.server | "POST /dashboard/contributor/submit_content/submit_assessment HTTP/1.1" 500 69036
[INFO] 2025-10-24 19:20:15,867 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 19:20:16,338 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[INFO] 2025-10-24 19:20:23,154 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 19:20:23,604 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 19:20:32,292 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 19:20:32,615 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 19:20:32,615 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 19:43:12,317 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 19:43:13,259 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 19:43:20,990 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 19:43:21,260 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[WARNING] 2025-10-24 19:43:21,272 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[INFO] 2025-10-24 19:51:25,319 | googleapiclient.discovery_cache | file_cache is only supported with oauth2client<4.0.0
[INFO] 2025-10-24 19:51:25,791 | google_auth_httplib2 | Refreshing credentials due to a 401 response. Attempt 1/2.
[WARNING] 2025-10-24 19:51:33,904 | django.server | "GET /static/frontend/css/style_contro.css HTTP/1.1" 404 1901
[WARNING] 2025-10-24 19:51:34,217 | django.server | "GET /static/frontend/js/contributor.js HTTP/1.1" 404 1892
[WARNING] 2025-10-24 19:51:34,217 | django.server | "GET /static/frontend/images/high-five.jpg HTTP/1.1" 404 1901
[ERROR] 2025-10-24 19:55:20,473 | django.request | Internal Server Error: /dashboard/contributor/
Traceback (most recent call last):
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\fields\__init__.py", line 2128, in get_prep_value
    return int(value)
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'module'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\contrib\auth\decorators.py", line 59, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "C:\Users\gauri\IdeaProjects\oer\accounts\views\contributor\contributor_dashboard.py", line 43, in contributor_dashboard_view
    uploads = UploadCheck.objects.filter(contributor=contributor).select_related('chapter', 'chapter__course').order_by('-timestamp')
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\manager.py", line 87, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\query.py", line 1493, in filter
    return self._filter_or_exclude(False, args, kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\query.py", line 1511, in _filter_or_exclude
    clone._filter_or_exclude_inplace(negate, args, kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\query.py", line 1518, in _filter_or_exclude_inplace
    self._query.add_q(Q(*args, **kwargs))
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\sql\query.py", line 1646, in add_q
    clause, _ = self._add_q(q_object, can_reuse)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\sql\query.py", line 1678, in _add_q
    child_clause, needed_inner = self.build_filter(
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\sql\query.py", line 1588, in build_filter
    condition = self.build_lookup(lookups, col, value)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\sql\query.py", line 1415, in build_lookup
    lookup = lookup_class(lhs, rhs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\lookups.py", line 38, in __init__
    self.rhs = self.get_prep_lookup()
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\fields\related_lookups.py", line 112, in get_prep_lookup
    self.rhs = target_field.get_prep_value(self.rhs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\fields\__init__.py", line 2130, in get_prep_value
    raise e.__class__(
TypeError: Field 'id' expected a number but got <module 'accounts.views.contributor' from 'C:\\Users\\gauri\\IdeaProjects\\oer\\accounts\\views\\contributor\\__init__.py'>.
[ERROR] 2025-10-24 19:55:20,558 | django.server | "GET /dashboard/contributor/ HTTP/1.1" 500 137792
[ERROR] 2025-10-24 19:55:39,884 | django.request | Internal Server Error: /dashboard/contributor/
Traceback (most recent call last):
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\fields\__init__.py", line 2128, in get_prep_value
    return int(value)
TypeError: int() argument must be a string, a bytes-like object or a real number, not 'module'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\contrib\auth\decorators.py", line 59, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "C:\Users\gauri\IdeaProjects\oer\accounts\views\contributor\contributor_dashboard.py", line 43, in contributor_dashboard_view
    uploads = UploadCheck.objects.filter(contributor=contributor).select_related('chapter', 'chapter__course').order_by('-timestamp')
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\manager.py", line 87, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\query.py", line 1493, in filter
    return self._filter_or_exclude(False, args, kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\query.py", line 1511, in _filter_or_exclude
    clone._filter_or_exclude_inplace(negate, args, kwargs)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\query.py", line 1518, in _filter_or_exclude_inplace
    self._query.add_q(Q(*args, **kwargs))
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\sql\query.py", line 1646, in add_q
    clause, _ = self._add_q(q_object, can_reuse)
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\sql\query.py", line 1678, in _add_q
    child_clause, needed_inner = self.build_filter(
  File "C:\Users\gauri\AppData\Local\Programs\Python\Python310\lib\site-packages\django\db\models\sql\query.py", line 1588, in build_filter
    condition = self.build_lookup(lookups, col, value)
